::1 - - [12/Oct/2025:15:06:12 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:06:18 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:06:23 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:07:28 +0000] "POST /api/paystack/init HTTP/1.1" 200 163 "-" "PostmanRuntime/7.48.0"
::1 - - [12/Oct/2025:15:07:52 +0000] "GET /api/paystack/verify/j3u3d3g8wr HTTP/1.1" 200 40 "-" "PostmanRuntime/7.48.0"
::1 - - [12/Oct/2025:15:09:25 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:09:28 +0000] "POST /api/paystack/init HTTP/1.1" 200 163 "-" "PostmanRuntime/7.48.0"
::1 - - [12/Oct/2025:15:09:40 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:10:22 +0000] "GET /api/paystack/verify/w4b376jdga HTTP/1.1" 200 40 "-" "PostmanRuntime/7.48.0"
::1 - - [12/Oct/2025:15:10:40 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 200 26013 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:11:06 +0000] "GET /payment/callback?trxref=w4b376jdga&reference=w4b376jdga HTTP/1.1" 404 1273 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:11:07 +0000] "GET /favicon.ico HTTP/1.1" 404 1185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:11:40 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 200 26013 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:12:40 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
::1 - - [12/Oct/2025:15:13:40 +0000] "GET /admin/queues/api/queues?activeQueue=email&status=failed&page=1&jobsPerPage=10 HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"
